,countryCode,fullname,traderId,stockSymbol,stockName,tradeId,price,volume,tradeDatetime
24,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,u0-8778279X,1577.0,212.0,2020-01-12 04:45:02
25,UZ,Brandi Robbins,JTzVqzzIkFlrYUQbhnOR,AMZN,Amazon,e0-9063725B,2205.341414294,50.0,2020-01-12 09:59:01
26,GD,Kyle Blair,RNvnAvOpyEVAoNGnVZQU,AMZN,Amazon,t6-2266772W,2305.11038,59.0,2020-01-12 11:33:57
27,BT,Allison Davis,TzqyQTQjZGeLZuJqlLaQ,TSLA,Tesla,e1-8198603g,1525.133,97.0,2020-01-12 23:00:10
28,CV,April Floyd,stOzTFyGrgJGPgVPVTJQ,FB,Facebook,d6-9078818s,1694.0,158.0,2020-01-12 23:16:44
29,LA,Brandon Berry,xIZVPeFzGRmMglPrQfhK,AMZN,Amazon,E1-2299957Y,1737.68322722,207.0,2020-01-13 04:40:59
30,JP,Christine Baldwin,vDAqsRnDaMrcomXsosXG,AMZN,Amazon,q9-1365922p,2497.74210999,221.0,2020-01-13 05:33:57
31,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,FB,Facebook,P5-3756422C,1992.9433722744286,98.0,2020-01-13 08:29:53
32,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,E6-5453137b,1501.155619692,106.0,2020-01-13 12:20:43
33,NZ,Brittany Herring,pjjFIyeNTWRUWCuKoQSU,TSLA,Tesla,J7-4027055K,2031.4555,295.0,2020-01-13 13:25:35
34,GT,Holly Simmons,puCpymcjBdurvfVyRYry,AMZN,Amazon,l2-4321688U,2329.0,262.0,2020-01-13 19:53:57
35,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,N4-953508K,1945.0,200.0,2020-01-13 22:23:02
36,KZ,Vicki Burgess,deTclcaRrihIYAUADJPN,TSLA,Tesla,H0-6856756I,1812.7,251.0,2020-01-14 04:34:26
37,GT,Holly Simmons,puCpymcjBdurvfVyRYry,TSLA,Tesla,w7-4468639p,2419.87491,33.0,2020-01-15 01:05:45
38,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,AMZN,Amazon,G1-6452220G,1996.9,30.0,2020-01-15 03:13:18
39,TV,Vanessa Green,MUVGtYHdeMdauAxzEJvt,TSLA,Tesla,F2-92517n,1584.0,221.0,2020-01-15 05:27:57
40,TV,Vanessa Green,MUVGtYHdeMdauAxzEJvt,FB,Facebook,K0-6481484n,2082.452,98.0,2020-01-15 08:23:14
41,KM,John Nguyen,JyfwFVYySnPCaLuQIazT,TSLA,Tesla,s9-5326860B,2220.0,161.0,2020-01-15 19:19:26
42,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,FB,Facebook,f5-3722089T,1774.5,18.0,2020-01-16 05:41:53
43,KZ,Vicki Burgess,deTclcaRrihIYAUADJPN,TSLA,Tesla,k6-5104068P,2011.0,148.88715083798883,2020-01-16 11:02:58
44,JP,Christine Baldwin,vDAqsRnDaMrcomXsosXG,AMZN,Amazon,k1-4297970p,1668.502,148.88715083798883,2020-01-16 12:18:21
45,NG,Crystal Garcia,goRcbvzSLJhZvFucyhbG,TSLA,Tesla,d7-493152U,1892.74,298.0,2020-01-16 15:42:32
46,KZ,Vicki Burgess,deTclcaRrihIYAUADJPN,TSLA,Tesla,b1-0258483O,2156.80792,299.0,2020-01-17 02:35:04
47,UZ,Brandi Robbins,JTzVqzzIkFlrYUQbhnOR,AMZN,Amazon,K7-2183342e,2096.2,127.0,2020-01-17 03:11:43
48,KM,John Nguyen,JyfwFVYySnPCaLuQIazT,FB,Facebook,u0-436493F,2095.783621,84.0,2020-01-17 03:15:55
49,TV,Vanessa Green,MUVGtYHdeMdauAxzEJvt,FB,Facebook,b4-8425865x,1891.3457,78.0,2020-01-17 07:05:49
50,JP,Christine Baldwin,vDAqsRnDaMrcomXsosXG,TSLA,Tesla,V2-1465590L,1839.493,38.0,2020-01-17 08:26:42
51,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,k1-4297970p,1992.9433722744286,21.0,2020-01-17 16:09:56
52,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,FB,Facebook,k1-4297970p,1992.9433722744286,20.0,2020-01-17 16:27:29
53,GD,Kyle Blair,RNvnAvOpyEVAoNGnVZQU,FB,Facebook,Q7-6267967B,2295.38,123.0,2020-01-17 23:38:50
54,JP,Christine Baldwin,vDAqsRnDaMrcomXsosXG,AMZN,Amazon,k1-4297970p,2217.15,126.0,2020-01-18 03:41:14
55,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,B0-8375478o,1544.983647,110.0,2020-01-18 16:15:41
56,LA,Brandon Berry,xIZVPeFzGRmMglPrQfhK,FB,Facebook,I6-2724737u,1687.333236405963,264.0,2020-01-18 21:52:50
57,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,c5-0763974N,1992.9433722744286,158.0,2020-01-19 00:32:13
58,KM,John Nguyen,JyfwFVYySnPCaLuQIazT,AMZN,Amazon,w0-960628U,2499.12,14.0,2020-01-19 12:11:36
59,KZ,Vicki Burgess,deTclcaRrihIYAUADJPN,TSLA,Tesla,k1-4297970p,2061.1185846,60.0,2020-01-19 19:05:17
60,KZ,Vicki Burgess,deTclcaRrihIYAUADJPN,FB,Facebook,I2-0785640R,2177.0,114.0,2020-01-19 19:22:27
61,KM,John Nguyen,JyfwFVYySnPCaLuQIazT,FB,Facebook,m2-723310q,2075.2345,148.88715083798883,2020-01-19 23:29:28
62,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,w1-2631334p,2006.9,148.88715083798883,2020-01-20 08:36:31
63,LC,Erin Grant,HToYfSueoxPSgBHsToac,AMZN,Amazon,Z3-2089895c,2490.874938897012,7.0,2020-01-21 02:39:30
64,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,FB,Facebook,x2-0498865K,1770.52,77.0,2020-01-21 09:34:40
65,CV,April Floyd,stOzTFyGrgJGPgVPVTJQ,TSLA,Tesla,x8-5708009S,2100.0,87.0,2020-01-21 14:46:03
66,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,FB,Facebook,r2-7173815j,1560.3955316,2.0,2020-01-22 03:03:08
67,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,c9-8903256t,2189.1,294.0,2020-01-22 04:16:47
68,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,FB,Facebook,S7-9717416m,1992.9433722744286,297.0,2020-01-22 08:13:49
69,GT,Holly Simmons,puCpymcjBdurvfVyRYry,FB,Facebook,b9-5921642i,2002.0,269.0,2020-01-22 11:14:39
70,TV,Vanessa Green,MUVGtYHdeMdauAxzEJvt,AMZN,Amazon,q4-7606630v,2119.6683400895,267.0,2020-01-22 13:47:51
71,KM,John Nguyen,JyfwFVYySnPCaLuQIazT,AMZN,Amazon,a8-2739521U,2164.93956607,286.0,2020-01-22 15:42:14
72,NG,Crystal Garcia,goRcbvzSLJhZvFucyhbG,AMZN,Amazon,R7-6916469p,1992.9433722744286,75.0,2020-01-22 15:51:03
73,KZ,Vicki Burgess,deTclcaRrihIYAUADJPN,TSLA,Tesla,L3-0174691R,2105.0,17.0,2020-01-22 22:52:01
74,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,AMZN,Amazon,B3-3613810p,1540.26,117.0,2020-01-23 01:16:49
75,KP,Tonya Hernandez,wsdSKUxJgukcXlhktChZ,AMZN,Amazon,E1-9534106n,1748.324,243.0,2020-01-23 09:20:44
76,MK,Scott Thompson,sjAcfZksMRViIYdJRrnF,TSLA,Tesla,v1-1498339v,1765.6,286.0,2020-01-23 12:51:17
77,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,AMZN,Amazon,g2-7857334E,1663.0,82.0,2020-01-23 14:23:54
78,LC,Erin Grant,HToYfSueoxPSgBHsToac,AMZN,Amazon,f5-046521r,1894.73,225.0,2020-01-24 11:10:06
79,RU,Jordan Walker,BJbHFDutYbbXjgkPWbwf,TSLA,Tesla,k1-4297970p,2255.6,287.0,2020-01-24 17:40:12
80,NZ,Brittany Herring,pjjFIyeNTWRUWCuKoQSU,AMZN,Amazon,X3-8168569O,2208.147,59.0,2020-01-24 17:40:51
81,GD,Kyle Blair,RNvnAvOpyEVAoNGnVZQU,AMZN,Amazon,V4-6627650W,1992.9433722744286,77.0,2020-01-25 21:57:04
82,MK,Scott Thompson,sjAcfZksMRViIYdJRrnF,TSLA,Tesla,e5-0507795I,1950.35,209.0,2020-01-26 09:28:33
83,MK,Scott Thompson,sjAcfZksMRViIYdJRrnF,AMZN,Amazon,o7-8971702V,1992.37,226.0,2020-01-27 00:06:10
84,SZ,Blake Martin,WVcMKILUHtBkEahrPLrG,FB,Facebook,k1-4297970p,2403.599,175.0,2020-01-27 00:48:27
85,KM,John Nguyen,JyfwFVYySnPCaLuQIazT,AMZN,Amazon,P6-6598954V,2280.112,159.0,2020-01-27 05:52:42
86,NZ,Brittany Herring,pjjFIyeNTWRUWCuKoQSU,AMZN,Amazon,U7-9544495F,1579.0,63.0,2020-01-27 06:47:28
87,BT,Allison Davis,TzqyQTQjZGeLZuJqlLaQ,TSLA,Tesla,k1-4297970p,1852.0,156.0,2020-01-27 21:22:19
88,LA,Brandon Berry,xIZVPeFzGRmMglPrQfhK,AMZN,Amazon,B5-2178594v,2218.9,132.0,2020-01-27 22:10:30
89,GD,Kyle Blair,RNvnAvOpyEVAoNGnVZQU,TSLA,Tesla,s2-7385871s,1996.373346,29.0,2020-01-27 22:43:48
90,KM,John Nguyen,JyfwFVYySnPCaLuQIazT,FB,Facebook,s2-8041539f,1884.0,17.0,2020-01-28 02:23:20
91,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,V3-4127286V,1992.9433722744286,154.0,2020-01-28 02:49:59
92,GD,Kyle Blair,RNvnAvOpyEVAoNGnVZQU,TSLA,Tesla,Y3-9141126b,2102.685,22.0,2020-01-28 05:25:58
93,JP,Christine Baldwin,vDAqsRnDaMrcomXsosXG,AMZN,Amazon,B3-0065966b,1674.4,148.88715083798883,2020-01-28 14:21:36
94,RU,Jordan Walker,BJbHFDutYbbXjgkPWbwf,TSLA,Tesla,j4-9764191R,2141.2170673,55.0,2020-01-28 16:49:41
95,LA,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,T0-1544535J,1874.507,253.0,2020-01-28 19:19:31
96,NZ,Caitlyn Cruz,jDmYPxeqAWfCKCQCYFEx,AMZN,Amazon,b9-3978084Q,1587.1,58.0,2020-01-28 22:56:10
97,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,W8-971541z,1521.4001099,94.0,2020-01-28 23:27:33
98,KM,John Nguyen,JyfwFVYySnPCaLuQIazT,FB,Facebook,H9-671511B,2285.84,137.0,2020-01-29 05:44:56
99,LC,Erin Grant,HToYfSueoxPSgBHsToac,AMZN,Amazon,x6-1961034Q,2052.6,93.0,2020-01-29 08:50:14
100,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,q8-4616718m,2355.6,268.0,2020-01-30 04:44:46
101,RO,Lisa Brown,kBFQzPuESPIajAndSXpv,TSLA,Tesla,v4-5016067x,1992.9433722744286,298.0,2020-01-30 05:45:17
102,CV,April Floyd,stOzTFyGrgJGPgVPVTJQ,TSLA,Tesla,T5-3678747k,2285.1,24.0,2020-01-30 12:54:47
103,GT,Holly Simmons,puCpymcjBdurvfVyRYry,FB,Facebook,i3-070833X,1812.26237,148.0,2020-01-30 21:25:09
104,SZ,Blake Martin,WVcMKILUHtBkEahrPLrG,AMZN,Amazon,Y0-6525446x,2301.0,225.0,2020-01-31 12:17:39
105,NZ,Caitlyn Cruz,jDmYPxeqAWfCKCQCYFEx,AMZN,Amazon,O4-2575197j,1992.9433722744286,65.0,2020-01-31 12:37:31
106,RU,Jordan Walker,BJbHFDutYbbXjgkPWbwf,AMZN,Amazon,M3-5654479G,2238.8,259.0,2020-01-31 23:05:30
107,TV,Vanessa Green,MUVGtYHdeMdauAxzEJvt,AMZN,Amazon,A9-9383287I,2294.3,44.0,2020-02-01 06:34:33
108,LA,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,a0-1406640r,2052.15,148.88715083798883,2020-02-01 06:50:41
109,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,Z3-3755710J,2015.0,235.0,2020-02-01 17:46:07
110,RU,Jordan Walker,BJbHFDutYbbXjgkPWbwf,AMZN,Amazon,k1-4297970p,2017.4,148.88715083798883,2020-02-01 18:58:34
111,RO,Lisa Brown,kBFQzPuESPIajAndSXpv,TSLA,Tesla,g6-9582985m,1992.9433722744286,53.0,2020-02-01 19:27:24
112,MK,Scott Thompson,sjAcfZksMRViIYdJRrnF,AMZN,Amazon,W3-8564975I,1694.147299,282.0,2020-02-01 21:17:22
113,SZ,Blake Martin,WVcMKILUHtBkEahrPLrG,TSLA,Tesla,M3-9079770V,2371.6394,8.0,2020-02-02 03:33:08
114,MK,Scott Thompson,sjAcfZksMRViIYdJRrnF,AMZN,Amazon,i3-4134881e,2324.0,148.88715083798883,2020-02-02 04:19:20
115,LC,Erin Grant,HToYfSueoxPSgBHsToac,FB,Facebook,N1-0526313d,2227.6827,177.0,2020-02-02 05:27:12
116,RU,Jordan Walker,BJbHFDutYbbXjgkPWbwf,FB,Facebook,T1-4529226q,1853.0,84.0,2020-02-02 10:31:29
117,NZ,Caitlyn Cruz,jDmYPxeqAWfCKCQCYFEx,AMZN,Amazon,M5-1659620t,2437.3587,14.0,2020-02-02 10:34:12
118,SZ,Blake Martin,WVcMKILUHtBkEahrPLrG,TSLA,Tesla,A9-8335941c,2192.0,96.0,2020-02-02 12:43:58
119,NZ,Brittany Herring,pjjFIyeNTWRUWCuKoQSU,AMZN,Amazon,n8-8758476W,2209.0,17.0,2020-02-02 17:38:52
120,RU,Jordan Walker,BJbHFDutYbbXjgkPWbwf,TSLA,Tesla,O1-6447901s,1987.6851,252.0,2020-02-03 04:00:55
121,GD,Kyle Blair,RNvnAvOpyEVAoNGnVZQU,AMZN,Amazon,a2-8648655N,1746.5053088,70.0,2020-02-03 06:30:37
122,LA,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,a8-5028631h,1908.0,127.0,2020-02-03 13:15:01
123,KP,Tonya Hernandez,wsdSKUxJgukcXlhktChZ,TSLA,Tesla,i7-306344U,2455.7108849,40.0,2020-02-03 14:02:48
124,UZ,Brandi Robbins,JTzVqzzIkFlrYUQbhnOR,FB,Facebook,W2-2974720Q,1528.248855,146.0,2020-02-03 16:23:51
125,LA,Brandon Berry,xIZVPeFzGRmMglPrQfhK,FB,Facebook,k1-4297970p,1992.9433722744286,51.0,2020-02-03 20:30:00
126,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,AMZN,Amazon,E1-4937892x,1795.0,104.0,2020-02-03 21:05:35
127,JP,Christine Baldwin,vDAqsRnDaMrcomXsosXG,FB,Facebook,k1-4297970p,1992.9433722744286,148.88715083798883,2020-02-04 07:34:04
128,SZ,Blake Martin,WVcMKILUHtBkEahrPLrG,FB,Facebook,J1-3852903k,1852.9,193.0,2020-02-04 12:35:16
129,SZ,Blake Martin,WVcMKILUHtBkEahrPLrG,TSLA,Tesla,I9-5384464h,2086.5484,130.0,2020-02-04 12:40:01
130,MK,Scott Thompson,sjAcfZksMRViIYdJRrnF,TSLA,Tesla,P5-2123281U,1772.0,229.0,2020-02-04 14:36:31
131,RU,Jordan Walker,BJbHFDutYbbXjgkPWbwf,AMZN,Amazon,X9-0031177d,2491.0,260.0,2020-02-04 15:53:16
132,TV,Vanessa Green,MUVGtYHdeMdauAxzEJvt,FB,Facebook,k7-7508053A,1768.81,201.0,2020-02-04 16:43:01
133,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,h0-119891H,2401.27493472,76.0,2020-02-05 00:34:23
134,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,FB,Facebook,m9-8649202S,2171.68,113.0,2020-02-05 01:15:41
135,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,y4-5062077K,1582.5095,218.0,2020-02-05 06:13:59
136,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,FB,Facebook,V7-1399774I,2270.2893,148.88715083798883,2020-02-05 19:29:32
137,SZ,Blake Martin,WVcMKILUHtBkEahrPLrG,FB,Facebook,Y4-3346039y,2096.62131,250.0,2020-02-05 19:33:33
138,KZ,Vicki Burgess,deTclcaRrihIYAUADJPN,AMZN,Amazon,z4-380792C,1992.9433722744286,46.0,2020-02-05 21:07:20
139,LC,Erin Grant,HToYfSueoxPSgBHsToac,FB,Facebook,w7-6262521Y,1838.0,90.0,2020-02-05 21:57:48
140,KZ,Vicki Burgess,deTclcaRrihIYAUADJPN,FB,Facebook,S8-7693720h,1935.76,223.0,2020-02-05 23:28:16
141,GT,Holly Simmons,puCpymcjBdurvfVyRYry,TSLA,Tesla,D2-7904224S,2066.8,160.0,2020-02-06 08:48:23
142,JP,Christine Baldwin,vDAqsRnDaMrcomXsosXG,FB,Facebook,n7-8518105Z,1531.7227,65.0,2020-02-06 13:53:54
143,SZ,Blake Martin,WVcMKILUHtBkEahrPLrG,FB,Facebook,O3-484327F,1887.55021,38.0,2020-02-06 16:18:19
144,NZ,Brittany Herring,pjjFIyeNTWRUWCuKoQSU,FB,Facebook,T9-3222600l,1852.8,177.0,2020-02-06 18:02:50
145,TV,Vanessa Green,MUVGtYHdeMdauAxzEJvt,FB,Facebook,H6-7368599S,1836.0,241.0,2020-02-06 21:38:32
146,LA,Brandon Berry,xIZVPeFzGRmMglPrQfhK,AMZN,Amazon,L2-7312781J,2368.4,293.0,2020-02-06 23:55:17
147,RO,Lisa Brown,kBFQzPuESPIajAndSXpv,FB,Facebook,S2-7577424O,2039.0,27.0,2020-02-07 02:55:32
148,GD,Kyle Blair,RNvnAvOpyEVAoNGnVZQU,AMZN,Amazon,x4-3278769z,1831.51,71.0,2020-02-07 18:26:36
149,GT,Holly Simmons,puCpymcjBdurvfVyRYry,AMZN,Amazon,k5-9181776T,2036.0,169.0,2020-02-09 07:50:40
150,TV,Vanessa Green,MUVGtYHdeMdauAxzEJvt,TSLA,Tesla,R7-8796289y,1757.99,227.0,2020-02-09 08:39:44
151,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,AMZN,Amazon,h4-4154418p,1760.179,41.0,2020-02-09 14:02:34
152,MK,Scott Thompson,sjAcfZksMRViIYdJRrnF,FB,Facebook,G0-6451790Q,2370.0,212.0,2020-02-09 14:44:17
153,LA,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,F7-7329772h,1875.734573342,244.0,2020-02-09 15:12:40
154,KM,John Nguyen,JyfwFVYySnPCaLuQIazT,TSLA,Tesla,O5-7182673b,2302.65,179.0,2020-02-09 21:59:42
155,KP,Tonya Hernandez,wsdSKUxJgukcXlhktChZ,AMZN,Amazon,t6-6375744g,2402.0,249.0,2020-02-10 11:14:06
156,KZ,Vicki Burgess,deTclcaRrihIYAUADJPN,FB,Facebook,b6-4741107Y,2171.8,137.0,2020-02-10 16:08:06
157,NZ,Brittany Herring,pjjFIyeNTWRUWCuKoQSU,AMZN,Amazon,U9-4261680I,2351.144499636,154.0,2020-02-10 17:42:11
158,KM,John Nguyen,JyfwFVYySnPCaLuQIazT,AMZN,Amazon,k9-63748e,1577.27348421215,117.0,2020-02-10 19:35:43
159,LA,Brandon Berry,xIZVPeFzGRmMglPrQfhK,FB,Facebook,v6-7114789r,1990.9288301,287.0,2020-02-11 00:28:13
160,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,AMZN,Amazon,r1-9486911Q,2041.92211,52.0,2020-02-11 06:25:08
161,LA,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,I0-6912345j,1544.937,20.0,2020-02-11 07:52:35
162,CV,April Floyd,stOzTFyGrgJGPgVPVTJQ,FB,Facebook,S7-9312198p,1992.9433722744286,212.0,2020-02-11 09:17:50
163,KM,John Nguyen,JyfwFVYySnPCaLuQIazT,TSLA,Tesla,v2-2579898D,1954.36,56.0,2020-02-11 18:36:44
164,GD,Kyle Blair,RNvnAvOpyEVAoNGnVZQU,TSLA,Tesla,P5-4173600L,1864.827,104.0,2020-02-11 20:29:30
165,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,p0-4921583A,1865.34751940837,203.0,2020-02-12 02:42:07
166,TV,Vanessa Green,MUVGtYHdeMdauAxzEJvt,TSLA,Tesla,n1-3343388i,1992.9433722744286,148.88715083798883,2020-02-12 08:59:05
167,LC,Erin Grant,HToYfSueoxPSgBHsToac,AMZN,Amazon,Y7-2803714v,2251.34,87.0,2020-02-12 12:26:16
168,KM,John Nguyen,JyfwFVYySnPCaLuQIazT,AMZN,Amazon,R2-1538420U,2112.52793573,148.88715083798883,2020-02-12 15:28:31
169,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,FB,Facebook,e6-1954883F,1871.8,176.0,2020-02-13 07:10:27
170,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,FB,Facebook,M8-0379755m,2113.0,76.0,2020-02-13 10:31:59
171,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,Y7-9935854n,1693.0,148.88715083798883,2020-02-13 12:21:48
172,TN,Tony Hoffman,vHakrmHtTDvuKvIcxniB,AMZN,Amazon,E0-9406246W,1992.9433722744286,94.0,2020-02-13 15:15:02
173,JP,Christine Baldwin,vDAqsRnDaMrcomXsosXG,FB,Facebook,G5-8233740b,2081.614,148.88715083798883,2020-02-14 05:19:13
174,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,l5-1039167w,1979.4,63.0,2020-02-14 14:30:23
175,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,AMZN,Amazon,G7-8207478j,1560.0,180.0,2020-02-14 14:46:29
176,LA,Brandon Berry,xIZVPeFzGRmMglPrQfhK,FB,Facebook,l0-2755936r,2369.67749805849,153.0,2020-02-14 22:12:35
177,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,O3-9703345w,1992.9433722744286,100.0,2020-02-15 07:55:26
178,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,AMZN,Amazon,T0-0414697c,1738.83625959262,81.0,2020-02-15 09:19:14
179,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,AMZN,Amazon,k1-4297970p,2232.2970391,94.0,2020-02-15 14:24:53
180,NG,Crystal Garcia,goRcbvzSLJhZvFucyhbG,AMZN,Amazon,k1-4297970p,1672.7181984,27.0,2020-02-15 15:08:16
181,CV,April Floyd,stOzTFyGrgJGPgVPVTJQ,TSLA,Tesla,P4-1341876N,1721.0,292.0,2020-02-16 10:31:36
182,RU,Jordan Walker,BJbHFDutYbbXjgkPWbwf,TSLA,Tesla,k1-4297970p,1909.355303,209.0,2020-02-17 05:03:00
183,RU,Jordan Walker,BJbHFDutYbbXjgkPWbwf,FB,Facebook,Q7-6751027X,1997.3,212.0,2020-02-17 08:42:21
184,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,FB,Facebook,n0-7779427R,1992.9433722744286,67.0,2020-02-17 17:20:50
185,MK,Scott Thompson,sjAcfZksMRViIYdJRrnF,AMZN,Amazon,a9-5414756a,1508.543404044201,210.0,2020-02-17 19:26:06
186,MK,Scott Thompson,sjAcfZksMRViIYdJRrnF,FB,Facebook,h4-7911597V,1572.0,166.0,2020-02-17 23:59:48
187,KZ,Vicki Burgess,deTclcaRrihIYAUADJPN,FB,Facebook,h8-9963001H,2460.29433,165.0,2020-02-18 18:16:20
